file_name,extension,size,duration,video_codec,audio_codec,resolution
14 - A Fool Hope.mp4,.mp4,0.19 GB,0:22:07,h264,aac,1280x720
15 - Family Reunion and Farewell.mp4,.mp4,0.30 GB,0:45:37,h264,aac,1280x720
001 - Star.Wars.The.Clone.Wars.S02E16.1080p.BluRay.x264 - Cat and Mous.mkv,.mkv,1.46 GB,0:22:35,h264,ac3,1920x816
002 - Star.Wars.The.Clone.Wars.S01E16.1080p.BluRay.x264 - Hidden Enemy.mkv,.mkv,1.09 GB,0:21:46,h264,ac3,1920x816
003 - Star.Wars.The.Clone.Wars.Movie .1080p.BluRay.x264 - The Clone Wars Theatrical Release.mkv,.mkv,4.37 GB,1:38:26,h264,ac3,1920x816
004 - Star.Wars.The.Clone.Wars.S03E01.1080p.BluRay.x264 - Clone Cadets.mkv,.mkv,1.46 GB,0:22:35,h264,dts,1920x816
005 - Star.Wars.The.Clone.Wars.S03E03.1080p.BluRay.x264 - Supply Lines.mkv,.mkv,1.46 GB,0:22:32,h264,dts,1920x816
006 - Star.Wars.The.Clone.Wars.S01E01.1080p.BluRay.x264 - Ambush.mkv,.mkv,1.09 GB,0:22:38,h264,ac3,1920x816
007 - Star.Wars.The.Clone.Wars.S01E02.1080p.BluRay.x264 - Rising Malevolence.mkv,.mkv,1.09 GB,0:24:22,h264,ac3,1920x816
008 - Star.Wars.The.Clone.Wars.S01E03.1080p.BluRay.x264 - Shadow of Malevolence.mkv,.mkv,1.09 GB,0:23:21,h264,ac3,1920x816
009 - Star.Wars.The.Clone.Wars.S01E04.1080p.BluRay.x264 - Destroy Malevolence.mkv,.mkv,1.09 GB,0:22:40,h264,ac3,1920x816
010 - Star.Wars.The.Clone.Wars.S01E05.1080p.BluRay.x264 - Rookies.mkv,.mkv,1.09 GB,0:23:34,h264,ac3,1920x816
011 - Star.Wars.The.Clone.Wars.S01E06.1080p.BluRay.x264 - Downfall of a Droid.mkv,.mkv,1.09 GB,0:21:27,h264,ac3,1920x816
012 - Star.Wars.The.Clone.Wars.S01E07.1080p.BluRay.x264 - Duel of the Droids.mkv,.mkv,1.09 GB,0:22:30,h264,ac3,1920x816
013 - Star.Wars.The.Clone.Wars.S01E08.1080p.BluRay.x264 - Bombad Jedi.mkv,.mkv,1.09 GB,0:22:35,h264,ac3,1920x816
014 - Star.Wars.The.Clone.Wars.S01E09.1080p.BluRay.x264 - Cloak of Darkness.mkv,.mkv,1.09 GB,0:22:35,h264,ac3,1920x816
015 - Star.Wars.The.Clone.Wars.S01E10.1080p.BluRay.x264 - Lair of Grievous.mkv,.mkv,1.09 GB,0:23:28,h264,ac3,1920x816
016 - Star.Wars.The.Clone.Wars.S01E11.1080p.BluRay.x264 - Dooku Captured.mkv,.mkv,1.09 GB,0:22:39,h264,ac3,1920x816
017 - Star.Wars.The.Clone.Wars.S01E12.1080p.BluRay.x264 - The Gungan General.mkv,.mkv,1.09 GB,0:22:39,h264,ac3,1920x816
018 - Star.Wars.The.Clone.Wars.S01E13.1080p.BluRay.x264 - Jedi Crash.mkv,.mkv,1.09 GB,0:22:39,h264,ac3,1920x816
019 - Star.Wars.The.Clone.Wars.S01E14.1080p.BluRay.x264 - Defenders of Peace.mkv,.mkv,1.09 GB,0:22:36,h264,ac3,1920x816
020 - Star.Wars.The.Clone.Wars.S01E15.1080p.BluRay.x264 - Trespass.mkv,.mkv,1.09 GB,0:22:39,h264,ac3,1920x816
021 - Star.Wars.The.Clone.Wars.S01E17.1080p.BluRay.x264 - Blue Shadow Virus.mkv,.mkv,1.09 GB,0:22:36,h264,ac3,1920x816
022 - Star.Wars.The.Clone.Wars.S01E18.1080p.BluRay.x264 - Mystery of a Thousand Moons.mkv,.mkv,1.09 GB,0:22:35,h264,ac3,1920x816
023 - Star.Wars.The.Clone.Wars.S01E19.1080p.BluRay.x264 - Storm over Ryloth.mkv,.mkv,1.09 GB,0:24:15,h264,ac3,1920x816
024 - Star.Wars.The.Clone.Wars.S01E20.1080p.BluRay.x264 - Innocents of Ryloth.mkv,.mkv,1.09 GB,0:24:15,h264,ac3,1920x816
025 - Star.Wars.The.Clone.Wars.S01E21.1080p.BluRay.x264 - Liberty on Ryloth.mkv,.mkv,1.09 GB,0:24:25,h264,ac3,1920x816
026 - Star.Wars.The.Clone.Wars.S02E01.1080p.BluRay.x264 - Holocron Heist.mkv,.mkv,1.45 GB,0:22:35,h264,ac3,1920x816
027 - Star.Wars.The.Clone.Wars.S02E02.1080p.BluRay.x264 - Cargo of Doom.mkv,.mkv,1.46 GB,0:22:35,h264,ac3,1920x816
028 - Star.Wars.The.Clone.Wars.S02E03.1080p.BluRay.x264 - Children of the Force.mkv,.mkv,1.46 GB,0:22:40,h264,ac3,1920x816
